id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
NE;NORDESTE;2026-01-01;6255.7880000000005;46.6367;6228.618;46.4341
N ;NORTE;2026-01-01;8339.856;52.8311;8297.863;52.5651
SE;SUDESTE;2026-01-01;33445.588;50.818;28711.875000000004;43.6255
S ;SUL;2026-01-01;14167.115999999996;187.1544;10131.070000000002;133.8363
NE;NORDESTE;2026-01-02;6531.347999999999;48.691;6497.743;48.4405
N ;NORTE;2026-01-02;8231.388;52.144;8188.765;51.874
SE;SUDESTE;2026-01-02;33921.805000000015;51.5416;31723.409;48.2013
S ;SUL;2026-01-02;14429.929999999997;190.6263;10730.41;141.7539
NE;NORDESTE;2026-01-03;6684.877;49.8355;6661.282;49.6596
N ;NORTE;2026-01-03;8105.807000000001;51.3484;8089.53;51.2453
SE;SUDESTE;2026-01-03;34533.226000000024;52.4706;31764.948;48.2644
S ;SUL;2026-01-03;12624.086;166.7702;10910.165;144.1285
NE;NORDESTE;2026-01-04;6745.545000000001;50.2878;6728.385;50.1599
N ;NORTE;2026-01-04;7943.576;50.3208;7911.977000000001;50.1206
SE;SUDESTE;2026-01-04;35447.04899999999;53.859;32151.70299999999;48.852
S ;SUL;2026-01-04;10499.683999999994;138.7059;9555.409999999996;126.2316
NE;NORDESTE;2026-01-05;6607.06;49.2554;6586.325000000001;49.1008
N ;NORTE;2026-01-05;7826.926000000001;49.5818;7793.252;49.3685
SE;SUDESTE;2026-01-05;37022.937000000005;56.2535;34874.523;52.9891
S ;SUL;2026-01-05;8820.967999999999;116.5292;8171.074;107.9438
NE;NORDESTE;2026-01-06;6331.05;47.1978;6307.455;47.0219
N ;NORTE;2026-01-06;7890.361;49.9836;7839.510000000001;49.6615
SE;SUDESTE;2026-01-06;39440.323;59.9265;37634.897;57.1833
S ;SUL;2026-01-06;7515.796;99.2873;7003.382;92.518
NE;NORDESTE;2026-01-07;5852.048000000002;43.6268;5825.593000000002;43.4296
N ;NORTE;2026-01-07;7998.766999999999;50.6704;7998.626999999999;50.6695
SE;SUDESTE;2026-01-07;40777.09800000001;61.9576;38974.28399999999;59.2184
S ;SUL;2026-01-07;6396.8110000000015;84.5049;5951.457000000001;78.6216
NE;NORDESTE;2026-01-08;5413.526;40.3577;5389.215999999999;40.1764
N ;NORTE;2026-01-08;8346.103;52.8707;8345.259;52.8653
SE;SUDESTE;2026-01-08;41521.96900000001;63.0894;39286.75500000002;59.6932
S ;SUL;2026-01-08;5768.426;76.2037;5351.976;70.7022
NE;NORDESTE;2026-01-09;5225.491;38.9559;5203.326;38.7906
N ;NORTE;2026-01-09;8712.467;55.1915;8711.201000000001;55.1835
SE;SUDESTE;2026-01-09;40914.92400000001;62.1671;39452.45200000001;59.9449
S ;SUL;2026-01-09;5572.29;73.6126;5167.511;68.2653
NE;NORDESTE;2026-01-10;5133.234;38.2681;5027.414;37.4792
N ;NORTE;2026-01-10;9069.508;57.4533;9068.243;57.4453
SE;SUDESTE;2026-01-10;39677.46200000002;60.2868;37334.69600000002;56.7272
S ;SUL;2026-01-10;7215.346;95.3182;6813.135999999999;90.0048
NE;NORDESTE;2026-01-11;4918.481999999999;36.6671;4854.846999999999;36.1927
N ;NORTE;2026-01-11;9245.343999999996;58.5672;9244.641;58.5627
SE;SUDESTE;2026-01-11;38573.65999999999;58.6097;35638.76400000001;54.1503
S ;SUL;2026-01-11;7699.211999999999;101.7103;7301.035;96.4502
NE;NORDESTE;2026-01-12;4741.254999999999;35.3459;4726.955000000001;35.2393
N ;NORTE;2026-01-12;9457.131;59.9088;9457.131;59.9088
SE;SUDESTE;2026-01-12;37598.44200000002;57.1279;37007.68300000001;56.2303
S ;SUL;2026-01-12;7571.427;100.0222;7130.46;94.1968
NE;NORDESTE;2026-01-13;4491.979;33.4876;4474.819;33.3596
N ;NORTE;2026-01-13;9579.39;60.6833;9579.39;60.6833
SE;SUDESTE;2026-01-13;36802.73599999999;55.9189;36312.98099999999;55.1748
S ;SUL;2026-01-13;6856.130999999999;90.5728;6536.508;86.3504
NE;NORDESTE;2026-01-14;4266.804;31.8089;4266.804;31.8089
N ;NORTE;2026-01-14;9735.293;61.6709;9735.012;61.6691
SE;SUDESTE;2026-01-14;36447.08499999999;55.3785;35513.254;53.9596
S ;SUL;2026-01-14;6464.304999999999;85.3966;6252.222000000001;82.5949
NE;NORDESTE;2026-01-15;4152.0070000000005;30.9531;4129.842000000001;30.7878
N ;NORTE;2026-01-15;9855.125;62.43;9842.676;62.3511
SE;SUDESTE;2026-01-15;36721.18800000001;55.795;35640.23200000001;54.1526
S ;SUL;2026-01-15;6114.684000000001;80.7779;5907.168;78.0365
NE;NORDESTE;2026-01-16;4153.351000000001;30.9631;4126.896;30.7659
N ;NORTE;2026-01-16;10103.155000000004;64.0012;9970.953;63.1637
SE;SUDESTE;2026-01-16;37653.542;57.2116;35703.608000000015;54.2489
S ;SUL;2026-01-16;5862.575999999999;77.4474;5611.947999999999;74.1365
NE;NORDESTE;2026-01-17;4362.069;32.5191;4337.759;32.3378
N ;NORTE;2026-01-17;10314.928999999998;65.3427;10314.929;65.3427
SE;SUDESTE;2026-01-17;38029.492;57.7829;35963.853;54.6443
S ;SUL;2026-01-17;5957.090999999999;78.696;5702.422;75.3317
NE;NORDESTE;2026-01-18;4752.042999999999;35.4263;4724.873;35.2238
N ;NORTE;2026-01-18;10386.414;65.7956;10385.007999999998;65.7867
SE;SUDESTE;2026-01-18;38043.89000000001;57.8047;35111.03700000002;53.3485
S ;SUL;2026-01-18;6037.348999999999;79.7563;5780.288999999999;76.3604
NE;NORDESTE;2026-01-19;5325.889;39.7043;5300.149;39.5124
N ;NORTE;2026-01-19;10216.828;64.7213;10214.579;64.707
SE;SUDESTE;2026-01-19;38631.70599999998;58.6979;37255.74799999999;56.6072
S ;SUL;2026-01-19;6145.755;81.1884;5915.706;78.1493
NE;NORDESTE;2026-01-20;6011.073;44.563;5988.192999999999;44.3934
N ;NORTE;2026-01-20;10430.301;65.6716;10427.348;65.653
SE;SUDESTE;2026-01-20;39579.69499999999;59.8593;38330.65699999999;57.9702
S ;SUL;2026-01-20;5843.737000000001;77.5193;5655.499;75.0223
NE;NORDESTE;2026-01-21;6747.362000000001;50.0215;6733.777;49.9208
N ;NORTE;2026-01-21;10564.658;66.5175;10562.97;66.5069
SE;SUDESTE;2026-01-21;41035.93200000001;62.0616;39388.59799999999;59.5702
S ;SUL;2026-01-21;5552.803000000001;73.66;5370.807999999999;71.2458
NE;NORDESTE;2026-01-22;7250.791;53.7537;7228.625999999998;53.5894
N ;NORTE;2026-01-22;10686.313999999998;67.2835;10680.830999999998;67.249
SE;SUDESTE;2026-01-22;43659.10900000001;66.0288;41709.55200000001;63.0804
S ;SUL;2026-01-22;4959.809;65.7937;4760.624;63.1514
NE;NORDESTE;2026-01-23;7571.159;56.1287;7546.134;55.9432
N ;NORTE;2026-01-23;10786.355;67.9134;10752.487;67.7001
SE;SUDESTE;2026-01-23;47340.29800000002;71.5962;44894.997;67.898
S ;SUL;2026-01-23;4524.213999999999;60.0154;4298.831;57.0256
NE;NORDESTE;2026-01-24;7626.268;56.5373;7601.242999999999;56.3518
N ;NORTE;2026-01-24;10834.321;68.2154;10786.738;67.9158
SE;SUDESTE;2026-01-24;50692.32600000001;76.6657;45855.66900000004;69.3509
S ;SUL;2026-01-24;4085.3630000000007;54.1939;3856.5810000000006;51.159
NE;NORDESTE;2026-01-25;7511.678000000001;55.6878;7404.428;54.8927
N ;NORTE;2026-01-25;10803.026;68.0183;10677.474;67.2278
SE;SUDESTE;2026-01-25;53570.903;81.0192;48778.82600000001;73.7718
S ;SUL;2026-01-25;3837.484;50.9057;3578.924;47.4758
NE;NORDESTE;2026-01-26;7258.423;53.8103;7191.927999999999;53.3173
N ;NORTE;2026-01-26;10673.21;67.201;10616.874;66.8463
SE;SUDESTE;2026-01-26;55972.22500000001;84.6509;52010.28599999999;78.6589
S ;SUL;2026-01-26;3577.326;47.4546;3395.422;45.0415
NE;NORDESTE;2026-01-27;7067.856;52.3975;7049.266;52.2597
N ;NORTE;2026-01-27;10582.691;66.6311;10459.762;65.8571
